# vlowk itz =  0 l =  1 s =  1 jt =  2 kvnn =  **  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V11             V12              V21             V22 
   0.000790   0.000790   -1.012898205206E-07   7.357814218328E-13   7.357814218328E-13  -1.172180031222E-18
   0.000790   0.004159   -5.333901170497E-07   1.074450239063E-10   3.874609873898E-12  -1.711716383968E-16
   0.000790   0.010212   -1.309936046540E-06   1.590071213453E-09   9.507610046948E-12  -2.533156817125E-15
   0.000790   0.018933   -2.431576478747E-06   1.013246727734E-08   1.758760634080E-11  -1.614212517071E-14
   0.000790   0.030298   -3.900514310566E-06   4.142726150458E-08   2.801598593098E-11  -6.560735540036E-14
   0.000790   0.044278   -5.722754553219E-06   1.286422762247E-07   4.059887833035E-11  -2.026068169834E-13
   0.000790   0.060834   -7.911400314777E-06   3.308627065679E-07   5.500392810311E-11  -5.165232006017E-13
   0.000790   0.079922   -1.049099219335E-05   7.410427404918E-07   7.072349591682E-11  -1.140802724922E-12
   0.000790   0.101490   -1.349564578589E-05   1.491130847405E-06   8.705227535109E-11  -2.248096340874E-12
   0.000790   0.125480   -1.697113628047E-05   2.751377928307E-06   1.030943860099E-10  -4.027238196777E-12
   0.000790   0.151828   -2.096722446616E-05   4.721505928049E-06   1.178147370927E-10  -6.637244367753E-12
   0.000790   0.180462   -2.552924391964E-05   7.611799648943E-06   1.301421121082E-10  -1.014008717635E-11
   0.000790   0.211306   -3.068765352150E-05   1.161489704480E-05   1.391180769534E-10  -1.442547402757E-11
   0.000790   0.244276   -3.644484346904E-05   1.687234849092E-05   1.440673298443E-10  -1.915434493874E-11
   0.000790   0.279283   -4.276353675461E-05   2.344337048979E-05   1.447461016305E-10  -2.375693968555E-11
   0.000790   0.316234   -4.956130489611E-05   3.128482235330E-05   1.414157693674E-10  -2.751711858669E-11
   0.000790   0.355027   -5.671435796990E-05   4.025053839985E-05   1.347988458572E-10  -2.974967828235E-11
