# vlowk itz =  0 l =  0 s =  0 jt =  0 kvnn =  **  Lambda =  12.00
#  fac=0.17 reg.= 0 int. smooth= 0 real smooth=  0.0000 meth= 3 herm= 0
#     k            kp           V 
   0.000790   0.000790   -1.820645371438E+00
   0.000790   0.004159   -1.820622271791E+00
   0.000790   0.010212   -1.820443348628E+00
   0.000790   0.018933   -1.819948798058E+00
   0.000790   0.030298   -1.818865268330E+00
   0.000790   0.044278   -1.816849698506E+00
   0.000790   0.060834   -1.813497038804E+00
   0.000790   0.079922   -1.808350602138E+00
   0.000790   0.101490   -1.800919456602E+00
   0.000790   0.125480   -1.790701360212E+00
   0.000790   0.151828   -1.777210024178E+00
   0.000790   0.180462   -1.760005419837E+00
   0.000790   0.211306   -1.738724662194E+00
   0.000790   0.244276   -1.713109894176E+00
   0.000790   0.279283   -1.683029394372E+00
   0.000790   0.316234   -1.648488401620E+00
   0.000790   0.355027   -1.609627618963E+00
   0.000790   0.395559   -1.566709405221E+00
   0.000790   0.437721   -1.520094074449E+00
   0.000790   0.481399   -1.470210520806E+00
   0.000790   0.526474   -1.417526120636E+00
   0.000790   0.572826   -1.362520151617E+00
   0.000790   0.620330   -1.305663278153E+00
   0.000790   0.668857   -1.247403677459E+00
   0.000790   0.718277   -1.188158960772E+00
   0.000790   0.768456   -1.128312537555E+00
   0.000790   0.819260   -1.068213260990E+00
   0.000790   0.870551   -1.008177540986E+00
   0.000790   0.922191   -9.484931618969E-01
   0.000790   0.974040   -8.894237996561E-01
   0.000790   1.025960   -8.312130510348E-01
   0.000790   1.077809   -7.740870174250E-01
   0.000790   1.129449   -7.182551340563E-01
   0.000790   1.180740   -6.639096545622E-01
   0.000790   1.231544   -6.112245812917E-01
   0.000790   1.281723   -5.603547253286E-01
   0.000790   1.331143   -5.114351758540E-01
   0.000790   1.379670   -4.645810928526E-01
   0.000790   1.427174   -4.198876214474E-01
   0.000790   1.473526   -3.774298491537E-01
   0.000790   1.518601   -3.372629102546E-01
   0.000790   1.562279   -2.994224296143E-01
   0.000790   1.604441   -2.639254463464E-01
   0.000790   1.644973   -2.307718291526E-01
   0.000790   1.683766   -1.999460809691E-01
   0.000790   1.720717   -1.714193831233E-01
   0.000790   1.755724   -1.451517454221E-01
   0.000790   1.788694   -1.210941741033E-01
   0.000790   1.819538   -9.919081093290E-02
   0.000790   1.848172   -7.938101866075E-02
   0.000790   1.874520   -6.160139256352E-02
   0.000790   1.898510   -4.578767451270E-02
   0.000790   1.920078   -3.187654332120E-02
   0.000790   1.939166   -1.980725669075E-02
   0.000790   1.955722   -9.523125441498E-03
   0.000790   1.969702   -9.728075256494E-04
   0.000790   1.981067    5.888585036014E-03
   0.000790   1.989788    1.109857292516E-02
   0.000790   1.995841    1.468662711131E-02
   0.000790   1.999210    1.667422916070E-02
   0.000790   2.003160    1.899478857994E-02
   0.000790   2.016638    2.684092650649E-02
   0.000790   2.040848    4.064940343558E-02
   0.000790   2.075731    5.990143012165E-02
   0.000790   2.121193    8.385499192432E-02
   0.000790   2.177111    1.115623220778E-01
   0.000790   2.243335    1.418928223023E-01
   0.000790   2.319686    1.735653925948E-01
   0.000790   2.405959    2.051925355163E-01
   0.000790   2.501920    2.353373204540E-01
   0.000790   2.607312    2.625801562716E-01
   0.000790   2.721850    2.855906091284E-01
   0.000790   2.845225    3.032046881739E-01
   0.000790   2.977105    3.145033790390E-01
